id,pos,flr,flg,eg,er,fg,op
626,72,1800,1800,0.3022,9.70062,1.05042,15.2866
627,203,911,1600,0.1698,5.45188,-0.315731,42.0833
628,28,986,649,0.2279,7.31672,-0.0370297,16.9643
629,1,379,481,0.2712,8.70712,-0.380463,53.3333
630,21,1300,2300,0.1803,5.78632,1.53374,0.0
631,1100,2400,4600,0.2317,4.1713,0.790514,27.563
632,62,3300,2300,0.3047,5.48485,1.14526,57.9336
633,38,442,2478,0.1569,5.03771,0.4585,50.0
634,1,225,410,0.3461,11.1111,1.62764,20.8333
635,1300,941,859,0.0298,0.95643,1.13122,7.6923
636,611,5000,6800,0.0527,0.948889,1.94932,56.0
637,9,69,131,0.316,10.1449,-2.45536,27.5862
638,42,694,3000,0.1723,5.53154,-0.579725,78.0612
639,18,531,3000,0.1548,4.96966,-1.25843,93.662
640,108,2100,3300,0.685,12.3307,3.01205,88.2557
641,51,666,3200,0.3147,10.1018,1.76803,43.0147
642,81,376,884,0.2601,8.34811,3.125,37.9845
643,73,291,1600,0.3652,11.722,0.7715,81.6456
644,332,1100,2800,0.0357,1.14646,10.0,22.2222
645,585,798,3900,0.0523,1.67781,-0.460617,85.2941
646,1800,1100,1700,0.1864,5.98442,1.79641,32.1519
647,172,1400,7500,0.1538,4.93698,0.8737,37.3288
648,20,792,5600,0.2893,9.28732,0.446901,90.2883
649,401,2200,5100,0.1355,2.43939,1.3518,37.3377
650,109,1300,724,0.2917,9.3641,1.49701,27.5229
651,21,890,5200,0.0404,1.29544,8.13008,49.4118
652,848,1500,4500,0.095,3.04815,1.28315,31.9149
653,132,234,811,0.1294,4.1548,1.60677,83.3333
654,26,507,525,0.6831,21.9283,0.212593,30.1818
655,257,976,342,0.0285,0.916439,-0.199016,42.5926
656,1700,738,1200,0.1046,3.35742,-0.332447,43.8889
657,22,1100,3500,0.1761,5.65341,1.81818,36.2069
658,2000,1600,2300,0.0328,1.05208,2.49169,43.0556
659,58,653,1156,0.1391,4.46656,0.5092,20.0
660,480,678,268,0.1395,4.47684,0.727625,28.4615
661,3300,2000,7500,0.0238,0.763889,1.92678,74.5902
662,37,750,994,0.1168,3.74815,0.421679,52.1429
663,401,1600,3900,0.0542,1.74038,0.8708,0.0
664,59,1100,3600,0.3147,10.101,10.0,17.7778
665,2312,5700,1202,0.0277,0.407407,0.3247,97.0874
666,449,2500,7500,0.1048,1.88667,0.739645,21.8045
667,133,507,918,0.0932,2.99145,0.5195,22.7273
668,5,40,147,0.3115,10.0,-0.4435,100.0
669,3400,5900,4700,0.032,0.469868,-0.306748,66.5289
670,487,1200,1400,0.2938,9.43056,1.2723,43.4442
671,1700,1500,989,0.1628,5.22593,1.1618,17.0213
672,756,2900,1100,0.1161,2.09004,9.62773,29.0816
673,586,2300,1700,0.1178,2.12077,1.71086,20.339
674,337,206,600,0.4822,15.48,3.04383,9.6774
675,54,363,531,0.4126,13.2443,1.6581,75.4839
676,1500,2100,1100,0.2492,4.48571,0.914634,48.1132
677,244,370,1300,0.3251,10.4354,0.101902,0.0
678,82,50,26,0.3254,10.4444,1.3484,35.0
679,288,753,2300,0.2082,6.68437,0.40203,28.5714
680,602,5700,1700,0.128,1.88103,0.322719,22.9391
681,23,169,574,0.4229,13.5766,0.220418,87.4346
682,12500,99800,1500,0.0349,0.261941,0.603475,12.9792
683,42,384,483,0.1373,4.40848,-0.577863,20.0
684,50,164,482,0.1995,6.40244,0.698921,85.2632
685,51,2300,2400,0.781,14.058,0.879765,28.8779
686,66,380,239,0.3584,11.5058,0.25641,80.2778
687,25,144,1000,0.0487,1.5625,2.14011,50.0
688,300,1200,3500,0.0306,0.981481,3.75,51.2195
689,1400,16800,7400,0.0262,0.283069,-0.324886,93.2927
690,100,875,1000,0.3635,11.6698,4.54513,53.0201
691,96,682,690,0.8829,28.3399,0.114188,23.4339
692,1700,817,1500,0.0934,2.99878,0.748865,33.5366
693,652,956,2000,0.2086,6.69457,0.769321,36.5591
694,9,2100,976,0.787,14.1666,2.06398,19.697
695,257,332,1900,0.0229,0.736278,-0.334934,50.0
696,72,1300,968,0.0875,2.80769,1.6129,42.5806
697,781,293,602,0.2995,9.6132,1.10373,13.7097
698,6,996,503,0.8664,27.8113,0.118835,31.875
699,4,955,789,1.0,40.2618,10.0,92.4771
700,750,1500,4100,0.033,1.05833,1.35624,32.2034
701,925,2000,2600,0.0137,0.438889,0.7789,56.6265
702,325,783,2500,0.0491,1.57514,-0.552309,78.5714
703,110,723,900,0.3155,10.1276,0.469078,44.5833
704,609,2700,7500,0.0167,0.300412,0.9874,40.9836
705,97,2300,4300,0.3801,6.84114,1.2656,32.243
706,17,1400,5600,0.2676,8.58928,1.3139,93.3185
707,447,2600,7500,0.0026,0.0472527,-0.694444,32.0
708,31,178,1600,0.6369,20.4432,-1.23035,0.0
709,719,1500,6900,0.0881,2.82857,1.41911,74.9004
710,104,806,611,0.4318,13.8593,0.837075,16.6667
711,537,885,1600,0.083,2.66534,0.447511,15.0943
712,34,1200,947,0.3183,10.2176,0.8314,0.0
713,353,1200,3500,0.0539,1.73148,1.77096,41.8803
714,89,1200,2500,0.0389,1.25,10.0,21.7391
715,631,2300,3300,0.0678,1.21981,7.63081,27.4286
716,19,280,144,0.4812,15.4464,0.263505,41.5842
717,156,1100,3200,0.1646,5.28283,1.80723,24.6006
718,17,1100,338,0.9264,29.738,0.9629,98.9205
719,25,100,130,0.3583,11.5,-0.176803,23.5294
720,127,753,907,0.0901,2.89213,-0.142008,26.087
721,160,2400,1100,0.3542,6.375,0.776398,49.0226
722,44,932,769,0.1829,5.87148,0.671478,43.9863
723,3,336,572,0.3678,11.8056,2.31849,42.8571
724,229,3700,2600,0.3734,6.72072,10.0,60.1578
725,122,931,867,0.482,15.4732,1.55116,50.5051
726,686,1300,5600,0.0347,1.11538,1.3708,18.3673
727,67,1200,5600,0.149,4.78431,1.6331,64.1026
728,75,290,137,0.3993,12.8161,-0.0624805,32.6667
729,55,908,1800,0.1531,4.91359,0.931572,17.9775
730,13,420,1600,0.3053,9.79854,1.15075,33.125
731,29,495,831,0.2748,8.82155,3.15758,25.8537
732,1,170,280,1.0,32.3529,0.211327,53.6585
733,994,1100,816,0.3735,11.9899,0.9019,23.1806
734,97,598,1100,0.3887,12.4768,-0.637435,13.369
735,15,299,266,0.3111,9.98567,0.690261,19.084
736,27,382,604,0.6534,20.9732,10.0,39.8438
737,212,1200,3500,0.1175,3.77315,0.776,0.0
738,149,638,890,0.0985,3.16092,0.667828,18.2796
